paragraphId,chapterTitle,subChapterTitle,content,summary,dataType
1,Objective ,,"The objective of this Standard is to specify Disclosure Requirements which will enable users of the sustainability statement to understand:\n (a) how the undertaking affects pollution of air, water and soil, in terms of material positive and negative actual or potential impacts;\n (b) any actions taken, and the result of such actions, to prevent or mitigate actual or potential negative impacts, and to address risks and opportunities;\n (c) the plans and capacity of the undertaking to adapt its strategy and business model in line with the transition to a sustainable economy and with the need to prevent, control 2 and eliminate pollution. This is to create a toxic-free environment with zero pollution also in support of the EU Action Plan “Towards a Zero Pollution for Air, Water and Soil”;\n (d) the nature, type and extent of the undertaking’s material risks and opportunities related to the undertaking’s pollution-related impacts and dependencies, as well as the prevention, control, elimination or reduction of pollution, including where this results from the application of regulations, and how the undertaking manages this; and\n (e) the financial effects on the undertaking over the short-, medium- and long-term of material risks and opportunities arising from the undertaking’s pollution-related impacts and dependencies.","To implement the content requested in the text, a sustainability consultant should:

1. Conduct an environmental impact assessment to understand how the business affects air, water, and soil pollution. This should include both positive and negative impacts, as well as potential impacts.
2. Document any actions taken to prevent or mitigate these impacts, and the results of these actions. This should also include how the business addresses related risks and opportunities.
3. Develop a strategic plan for the business to adapt its model to a sustainable economy and prevent, control, and eliminate pollution. This should align with the EU Action Plan “Towards a Zero Pollution for Air, Water and Soil”.
4. Identify and document the nature, type, and extent of the business's material risks and opportunities related to pollution. This should include how the business manages these risks and opportunities, especially in relation to regulations.
5. Analyze and document the financial effects on the business over the short-, medium-, and long-term of material risks and opportunities arising from pollution-related impacts and dependencies.",
2,Objective ,,"This Standard sets out Disclosure Requirements related to the following sustainability matters: pollution of air, water, soil, substances of concern, including substances of very high concern.","To implement the content requested in the text, a sustainability consultant should develop a comprehensive disclosure report that includes detailed information on the company's impact on air, water, and soil pollution, as well as its handling of substances of concern, including substances of very high concern. This report should be transparent, accurate, and adhere to the specific requirements set out in the Standard.",
3,Objective ,,"“Pollution of air” refers to the undertaking’s emissions into air (both indoor and outdoor), and prevention, control and reduction of such emissions.","Summary: The term ""Pollution of air"" pertains to an entity's emissions into both indoor and outdoor air, along with the measures taken to prevent, control, and reduce these emissions.",
4,Objective ,,"“Pollution of water” refers to the undertaking’s emissions to water, and prevention, control and reduction of such emissions.","Summary: The term ""Pollution of water"" pertains to an entity's water emissions and the measures taken to prevent, control, and reduce these emissions.",
5,Objective ,,"“Pollution of soil” refers to the undertaking’s emissions into soil and the prevention, control and reduction of such emissions.","Summary: The term ""pollition of soil"" pertains to the emissions released into the soil by an entity and the measures taken to prevent, control, and reduce these emissions.",
6,Objective ,,"With regard to “substances of concern”, this standard covers the undertaking’s production, use and/or distribution and commercialisation of substances of concern, including substances of very high concern. Disclosure Requirements on substances of concern aim at providing users with an understanding of actual or potential impacts related to such substances, also taking account of possible restrictions on their use and/or distribution and commercialisation.","To properly implement the content requested in the text, a sustainability consultant should develop a comprehensive inventory of all substances of concern used, produced, or distributed by the company. This inventory should include details about the potential impacts of these substances, any restrictions on their use, and their distribution and commercialisation. This information should then be disclosed in a clear and accessible manner to provide users with a thorough understanding of the company's involvement with these substances.",
7,Interaction with other ESRS ,,"The topic of pollution is closely connected to other environmental sub-topics such as climate change, water and marine resources, biodiversity and circular economy. Thus, to provide a comprehensive overview of what could be material to pollution, relevant Disclosure Requirements are covered in other environmental Standards as follows:\n (a) ESRS E1 Climate change which addresses the following seven greenhouse gases connected to air pollution: carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur hexafluoride (SF6) and nitrogen trifluoride (NF3).\n (b) ESRS E3 Water and marine resources which addresses water consumption, in particular in areas at water risk, water recycling and storage. This also includes the responsible management of marine resources, including the nature and quantity of marine resources-related commodities (such as gravels, deep-sea minerals, seafood) used by the undertaking. This Standard covers the negative impacts, in terms of pollution of water and marine resources, including microplastics, generated by such activities.\n (c) ESRS E4 Biodiversity and ecosystems which addresses ecosystems and species. Pollution as a direct impact driver of biodiversity loss is addressed by this Standard.\n (d) ESRS E5 Resource use and circular economy which addresses, in particular, the transition away from extraction of non-renewable resources and the implementation of practices that prevent waste generation, including pollution generated by waste.","To implement the disclosure requirements related to pollution, a sustainability consultant should:

1. Refer to ESRS E1 Climate Change to disclose the impact of the seven greenhouse gases on air pollution.
2. Use ESRS E3 Water and Marine Resources to disclose water consumption, recycling, storage, and the management of marine resources, including the pollution impacts of these activities.
3. Consult ESRS E4 Biodiversity and Ecosystems to disclose how pollution directly impacts biodiversity loss.
4. Follow ESRS E5 Resource Use and Circular Economy to disclose the transition away from non-renewable resources and the implementation of practices that prevent waste generation, including pollution generated by waste.",
8,Interaction with other ESRS ,,The undertaking’s pollution-related impacts may affect people and communities. Material negative impacts on affected communities from pollution-related impacts attributable to the undertaking are covered in ESRS S3 Affected communities.,"Summary: The text discusses the potential negative effects of a company's pollution-related impacts on people and communities, referencing ESRS S3 Affected communities for more details.",
9,Interaction with other ESRS ,,This Standard should be read in conjunction with ESRS 1 General requirements and ESRS 2 General disclosures.,Summary: The Standard needs to be interpreted alongside ESRS 1 General requirements and ESRS 2 General disclosures.,
10,Disclosure Requirements,ESRS 2 General disclosures,"The requirements of this section should be read in conjunction with and reported alongside the disclosures required by ESRS 2 chapter 4 Impact, risk and opportunity management.","Implementation Step: As a sustainability consultant, you should integrate the disclosures required by ESRS 2 chapter 4 on Impact, risk and opportunity management with the requirements of this section, ensuring that both sets of information are reported together for a comprehensive view.",
11,Disclosure Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material pollution-related impacts, risks and opportunities","The undertaking shall describe the process to identify material impacts, risks and opportunities and shall provide information on:\n (a) whether the undertaking has screened its site locations and business activities in order to identify its actual and potential pollution-related impacts, risks and opportunities in its own operations and upstream and downstream value chain, and if so, the methodologies, assumptions and tools used in the screening;\n (b) whether and how the undertaking has conducted consultations, in particular with affected communities.","To implement the content requested in the text, a sustainability consultant should:

1. Conduct a thorough screening of the company's site locations and business activities to identify actual and potential pollution-related impacts, risks, and opportunities in its operations and value chain. This should involve the use of specific methodologies, assumptions, and tools which should be clearly documented.

2. Carry out consultations, particularly with communities affected by the company's operations. The process and outcomes of these consultations should be documented and made available for review.",narrative
12,Disclosure Requirements,Disclosure Requirement E2-1 - Policies related to pollution,"The undertaking shall describe its policies adopted to manage its material impacts, risks and opportunities related to pollution prevention and control.","Implementation Step: The sustainability consultant should prepare a comprehensive document detailing the company's policies on managing material impacts, risks, and opportunities related to pollution prevention and control. This document should include the company's strategies, specific actions taken, and the results of these actions.",
13,Disclosure Requirements,Disclosure Requirement E2-1 - Policies related to pollution,"The objective of this Disclosure Requirement is to enable an understanding of the extent to which the undertaking has policies that address the identification, assessment, management and/or remediation of material pollution-related impacts, risks and opportunities.","Implementation Step: As a sustainability consultant, you should develop and document policies that specifically address the identification, assessment, management, and remediation of material pollution-related impacts, risks, and opportunities. This documentation should be comprehensive and transparent to demonstrate the extent of the undertaking's commitment to addressing pollution-related issues.",
14,Disclosure Requirements,Disclosure Requirement E2-1 - Policies related to pollution,"The disclosure required by paragraph 12 shall contain the information on the policies the undertaking has in place to manage its material impacts, risks and opportunities related to pollution in accordance with ESRS 2 MDR-P Policies adopted to manage material sustainability matters.","To implement the disclosure required by paragraph 12, a sustainability consultant should gather and document information on the policies the undertaking has in place to manage its material impacts, risks, and opportunities related to pollution. This should be done in accordance with ESRS 2 MDR-P Policies adopted to manage material sustainability matters.",MDR-P
15,Disclosure Requirements,Disclosure Requirement E2-1 - Policies related to pollution,"The undertaking shall indicate, with regard to its own operations and its upstream and donwstream value chain, whether and how its policies address the following areas where material:\n (a) mitigating negative impacts related to pollution of air, water and soil including prevention and control;\n (b) substituting and minimising the use of substances of concern, and phasing out substances of very high concern, in particular for non-essential societal use and in consumer products; and\n (c) avoiding incidents and emergency situations, and if and when they occur, controlling and limiting their impact on people and the environment.","To implement the content requested in the text, a sustainability consultant should:

1. Conduct an assessment of the company's operations and its upstream and downstream value chain to identify areas where the company's policies may have material impact.
2. Develop or revise policies to address the mitigation of negative impacts related to pollution of air, water, and soil. This should include strategies for prevention and control.
3. Implement strategies for substituting and minimizing the use of substances of concern, and phasing out substances of very high concern, particularly in non-essential societal use and consumer products.
4. Establish procedures to avoid incidents and emergency situations, and develop a response plan to control and limit their impact on people and the environment when they occur.",narrative
16,Disclosure Requirements,Disclosure Requirement E2-2 - Actions and resources related to pollution,The undertaking shall disclose its pollution-related actions and the resources allocated to their implementation.,"Implementation Step: As a sustainability consultant, you should prepare a comprehensive report detailing all the actions the company has taken to mitigate pollution. This should include specific initiatives, their outcomes, and the resources (financial, human, and technological) allocated for their implementation.",
17,Disclosure Requirements,Disclosure Requirement E2-2 - Actions and resources related to pollution,The objective of this Disclosure Requirement is to enable an understanding of the key actions taken and planned to achieve the pollution-related policy objectives and targets.,"Implementation Step: As a sustainability consultant, you should compile a comprehensive report detailing all the significant actions that have been taken and future plans to meet the pollution-related policy objectives and targets. This report should be clear, concise, and easily understandable to provide a thorough understanding of the efforts towards pollution control.",
18,Disclosure Requirements,Disclosure Requirement E2-2 - Actions and resources related to pollution,The description of the pollution-related action plans and resources shall contain the information prescribed in ESRS 2 MDR-A Actions and resources in relation to material sustainability matters.,"Implementation Step: As a sustainability consultant, you should prepare a detailed report outlining the pollution-related action plans and resources in accordance with the guidelines provided in ESRS 2 MDR-A. This report should include information on material sustainability matters, such as the nature of the resources, the steps taken to reduce pollution, and the effectiveness of these actions.",MDR-A
19,Disclosure Requirements,Disclosure Requirement E2-2 - Actions and resources related to pollution,"In addition to ESRS 2 MDR-A, the undertaking may specify to which layer in the following mitigation hierarchy an action and resources can be allocated:\n (a) avoid pollution including any phase out of materials or compounds that have a negative impact (prevention of pollution at source);\n (b) reduce pollution, including: any phase-out of materials or compounds; meeting enforcement requirements such as Best Available Techniques (BAT) requirements; or meeting the Do No Significant Harm criteria for pollution prevention and control according to the EU Taxonomy Regulation and its Delegated Acts (minimisation of pollution); and\n (c) restore, regenerate and transform ecosystems where pollution has occurred (control of the impacts both from regular activities and incidents).","To implement the content requested in the text, a sustainability consultant should create a detailed plan that outlines how to allocate actions and resources to the different layers of the mitigation hierarchy. This plan should include strategies for avoiding pollution, reducing pollution, and restoring ecosystems where pollution has occurred. The strategies should consider the phase-out of harmful materials or compounds, compliance with enforcement requirements such as Best Available Techniques, and adherence to the Do No Significant Harm criteria for pollution prevention and control according to the EU Taxonomy Regulation and its Delegated Acts.",semi-narrative
20,Disclosure Requirements,Disclosure Requirement E2-3 - Targets related to pollution,The undertaking shall disclose the pollution-related targets it has set.,"Implementation Step: As a sustainability consultant, you should gather all the pollution-related targets the company has set, including specific goals related to emissions, waste management, and resource usage, and prepare a comprehensive report detailing these targets for disclosure.",
